Validation_Set,Topics,Alpha,Beta,Coherence
75.0% Corpus,8,symmetric,symmetric,0.39780633620759165
75.0% Corpus,8,asymmetric,0.01,0.35340401543124234
75.0% Corpus,8,asymmetric,0.31,0.3413039147124004
75.0% Corpus,8,asymmetric,0.61,0.3764692742234079
75.0% Corpus,8,asymmetric,0.9099999999999999,0.3554056228322362
75.0% Corpus,8,asymmetric,symmetric,0.37432079523037026
75.0% Corpus,9,0.01,0.01,0.3594350993687965
75.0% Corpus,9,0.01,0.31,0.441631167244728
75.0% Corpus,9,0.01,0.61,0.4141222713383166
75.0% Corpus,9,0.01,0.9099999999999999,0.3416887747909463
75.0% Corpus,9,0.01,symmetric,0.4194116785911526
75.0% Corpus,9,0.31,0.01,0.4058665874642403
75.0% Corpus,9,0.31,0.31,0.4309428487279833
75.0% Corpus,9,0.31,0.61,0.4074271706411611
75.0% Corpus,9,0.31,0.9099999999999999,0.3407916506372193
75.0% Corpus,9,0.31,symmetric,0.34589825210955466
75.0% Corpus,9,0.61,0.01,0.3727816050471103
75.0% Corpus,9,0.61,0.31,0.38985634238053746
75.0% Corpus,9,0.61,0.61,0.3567847243536831
75.0% Corpus,9,0.61,0.9099999999999999,0.39658815103854
75.0% Corpus,9,0.61,symmetric,0.38251693813684634
75.0% Corpus,9,0.9099999999999999,0.01,0.367172709139349
75.0% Corpus,9,0.9099999999999999,0.31,0.3703897899295566
75.0% Corpus,9,0.9099999999999999,0.61,0.3485501107991213
75.0% Corpus,9,0.9099999999999999,0.9099999999999999,0.34810062672831554
75.0% Corpus,9,0.9099999999999999,symmetric,0.35927426111475386
75.0% Corpus,9,symmetric,0.01,0.41821892501523233
75.0% Corpus,9,symmetric,0.31,0.42373493168614285
75.0% Corpus,9,symmetric,0.61,0.3649691385004616
75.0% Corpus,9,symmetric,0.9099999999999999,0.3368323429324423
75.0% Corpus,9,symmetric,symmetric,0.41158867955682726
75.0% Corpus,9,asymmetric,0.01,0.3676232003614673
75.0% Corpus,9,asymmetric,0.31,0.349189266286043
75.0% Corpus,9,asymmetric,0.61,0.37027364946166913
75.0% Corpus,9,asymmetric,0.9099999999999999,0.36305668650096823
75.0% Corpus,9,asymmetric,symmetric,0.38863991569015327
75.0% Corpus,10,0.01,0.01,0.43308747106538287
75.0% Corpus,10,0.01,0.31,0.4085191520252214
75.0% Corpus,10,0.01,0.61,0.43532486336366727
75.0% Corpus,10,0.01,0.9099999999999999,0.44279391295282294
75.0% Corpus,10,0.01,symmetric,0.43566513143379115
75.0% Corpus,10,0.31,0.01,0.4202659965110593
75.0% Corpus,10,0.31,0.31,0.4284605440929572
75.0% Corpus,10,0.31,0.61,0.42020423073642676
75.0% Corpus,10,0.31,0.9099999999999999,0.4464739272877266
75.0% Corpus,10,0.31,symmetric,0.4334515594792584
75.0% Corpus,10,0.61,0.01,0.42447869023783263
75.0% Corpus,10,0.61,0.31,0.4184047726654013
75.0% Corpus,10,0.61,0.61,0.40781698697265834
75.0% Corpus,10,0.61,0.9099999999999999,0.41850957108488174
75.0% Corpus,10,0.61,symmetric,0.38192827280404035
75.0% Corpus,10,0.9099999999999999,0.01,0.3834668645096908
75.0% Corpus,10,0.9099999999999999,0.31,0.4243561932137954
75.0% Corpus,10,0.9099999999999999,0.61,0.37404736750989576
75.0% Corpus,10,0.9099999999999999,0.9099999999999999,0.37576833688413147
75.0% Corpus,10,0.9099999999999999,symmetric,0.3776666751570567
75.0% Corpus,10,symmetric,0.01,0.42736146555304033
75.0% Corpus,10,symmetric,0.31,0.4255399968219584
75.0% Corpus,10,symmetric,0.61,0.4420456534542092
75.0% Corpus,10,symmetric,0.9099999999999999,0.4081250858613933
75.0% Corpus,10,symmetric,symmetric,0.42794351730747743
75.0% Corpus,10,asymmetric,0.01,0.41294428968183555
75.0% Corpus,10,asymmetric,0.31,0.41414118652453125
75.0% Corpus,10,asymmetric,0.61,0.3607961111746366
75.0% Corpus,10,asymmetric,0.9099999999999999,0.37099766096075676
75.0% Corpus,10,asymmetric,symmetric,0.359159386082617
100.0% Corpus,2,0.01,0.01,0.2987499854897421
100.0% Corpus,2,0.01,0.31,0.29289015907825594
100.0% Corpus,2,0.01,0.61,0.292890159078256
100.0% Corpus,2,0.01,0.9099999999999999,0.2913233944138335
100.0% Corpus,2,0.01,symmetric,0.2904241036419462
100.0% Corpus,2,0.31,0.01,0.2913233944138335
100.0% Corpus,2,0.31,0.31,0.2895421813104714
100.0% Corpus,2,0.31,0.61,0.29815264968909416
100.0% Corpus,2,0.31,0.9099999999999999,0.2907317393097611
100.0% Corpus,2,0.31,symmetric,0.29073173930976115
100.0% Corpus,2,0.61,0.01,0.2968224902981075
100.0% Corpus,2,0.61,0.31,0.30397709039048937
100.0% Corpus,2,0.61,0.61,0.2936190686986937
100.0% Corpus,2,0.61,0.9099999999999999,0.2964317314035701
100.0% Corpus,2,0.61,symmetric,0.2894008444324718
100.0% Corpus,2,0.9099999999999999,0.01,0.2919589324283891
100.0% Corpus,2,0.9099999999999999,0.31,0.30031388964446515
100.0% Corpus,2,0.9099999999999999,0.61,0.2968224902981075
100.0% Corpus,2,0.9099999999999999,0.9099999999999999,0.30397709039048937
100.0% Corpus,2,0.9099999999999999,symmetric,0.30031388964446515
100.0% Corpus,2,symmetric,0.01,0.2919589324283891
100.0% Corpus,2,symmetric,0.31,0.2936190686986937
100.0% Corpus,2,symmetric,0.61,0.292890159078256
100.0% Corpus,2,symmetric,0.9099999999999999,0.2919589324283891
100.0% Corpus,2,symmetric,symmetric,0.2969615375980107
100.0% Corpus,2,asymmetric,0.01,0.295978124843859
100.0% Corpus,2,asymmetric,0.31,0.2977123225050336
100.0% Corpus,2,asymmetric,0.61,0.29504753043731524
100.0% Corpus,2,asymmetric,0.9099999999999999,0.29354106253619416
100.0% Corpus,2,asymmetric,symmetric,0.29354106253619416
100.0% Corpus,3,0.01,0.01,0.3234156246323477
100.0% Corpus,3,0.01,0.31,0.31368252659148804
100.0% Corpus,3,0.01,0.61,0.3101078070832414
